Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/15  09:00:00,14981397.353722595,14981397.353722595,24775138.204781075 
 01/15  10:00:00,14490110.933340468,14490110.933340466,22909253.00611581 
 01/15  11:00:00,13837083.58485151,13837083.58485151,24306797.942020999 
 01/15  12:00:00,11225650.816503337,11225650.816503337,23086118.620137954 
 01/15  13:00:00,11459686.204349801,11459686.204349798,20830005.73346025 
 01/15  14:00:00,11064421.894346497,11064421.894346497,18909764.416208578 
 01/15  15:00:00,11621866.805209099,11621866.805209099,23493830.20500895 
 01/15  16:00:00,13829108.923600926,13829108.923600922,20116470.936052585 
 01/15  17:00:00,14794578.607734703,14794578.607734703,20541719.1410367 
 01/15  18:00:00,14307665.611044685,14307665.611044683,18806995.05388641 
 01/15  19:00:00,14716424.369317625,14716424.369317621,19528706.561348976 
 01/15  20:00:00,14232718.049073765,14232718.049073764,18406995.358072517 
 01/15  21:00:00,14732341.021359988,14732341.021359986,20297631.507874989 
 01/15  22:00:00,18110335.045089205,18110335.045089205,10584938.347776989 
 01/15  23:00:00,22742214.336232444,22742214.33623244,1350568.6693518256 
 01/15  24:00:00,21225833.813054939,21225833.813054939,2855381.608518107 
 01/16  01:00:00,20562645.5948535,20562645.594853499,3274416.8106209526 
 01/16  02:00:00,19038584.499801719,19038584.499801719,3783754.712264912 
 01/16  03:00:00,19661534.502108896,19661534.502108896,4076533.7177794168 
 01/16  04:00:00,18527049.493655549,18527049.493655549,3231192.291456814 
 01/16  05:00:00,19483633.12210123,19483633.12210123,3904371.199249688 
 01/16  06:00:00,19230394.470427298,19230394.470427298,4012935.5011849387 
 01/16  07:00:00,15442370.20583148,15442370.205831476,17633311.21080375 
 01/16  08:00:00,13908141.689217614,13908141.689217613,18612026.247393766 
 01/16  09:00:00,16942134.027369117,16942134.027369117,13874689.896687344 
 01/16  10:00:00,20143218.474655089,20143218.474655089,4023652.3203873077 
 01/16  11:00:00,15650606.951409115,15650606.951409113,14933064.86239878 
 01/16  12:00:00,10857126.138510166,10857126.138510166,16505889.406716014 
 01/16  13:00:00,11290942.588469927,11290942.588469927,14423744.16386871 
 01/16  14:00:00,10832304.66429928,10832304.664299282,12822829.669669606 
 01/16  15:00:00,10880232.961770907,10880232.961770909,16239553.391770993 
 01/16  16:00:00,13265494.667013213,13265494.667013213,17975757.755035789 
 01/16  17:00:00,14225389.261000604,14225389.261000604,18046941.175256548 
 01/16  18:00:00,14407395.48480789,14407395.484807888,18707710.474046664 
 01/16  19:00:00,14069138.806665302,14069138.806665298,18950057.75150277 
 01/16  20:00:00,14412542.510111008,14412542.510111005,19134240.345048347 
 01/16  21:00:00,14118666.64005412,14118666.64005412,18400907.942039066 
 01/16  22:00:00,14369232.371098802,14369232.3710988,19539771.181390708 
 01/16  23:00:00,14251333.402530082,14251333.402530078,19364068.356658669 
 01/16  24:00:00,14412546.559152846,14412546.559152844,21373932.064089929 
 01/17  01:00:00,21883395.38905621,21883395.389056207,6857281.8313961899 
